id,food category,scientific name,family,popular name,occurrence by region,conservation status,origin,commercial cultivation,availability of nutritional composition data,number of recipes (POF/IBGE),number of recipes - other sources
1,algae,Sargassum acinarium (L.) Setch,Sargassaceae,sargaço,BA,Not Evaluated (NE),Native,No,Does not exist,0,0
2,algae,Caulerpa prolifera (Forssk.) J.V.Lamour.,Caulerpaceae,"caulerpa, grampos-do-mar","BA, CE, PB, PE, PI, RN, SE, ES, RJ",Not Evaluated (NE),Native,No,Does not exist,0,0
3,algae,Gelidium spinosum (S.G.Gmelin) P.C.Silva,Gelidiaceae,ágar-atlântico,"BA, CE, PE, SE, RJ, SP, PR, SC",Not Evaluated (NE),Native,No,Does not exist,0,0
4,algae,Caulerpa racemosa (Forssk.) J.Agardh,Caulerpaceae,uva-do-mar,"AL, BA, CE, PB, PE, PI, RN, ES, RJ, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
5,algae,Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.,Halimedaceae,cacto-do-mar,"AL, BA, CE, MA, PB, PE, RN, ES",Not Evaluated (NE),Native,No,Does not exist,0,0
6,algae,Ulva lactuca L.,Ulvaceae,alface-do-mar,"AL, BA, CE, PB, PE, PI, RN, ES, PR, RJ, RS, SC, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
7,algae,Ulva linza L.	,Ulvaceae,erva-daninha de fita dupla,"CE, RN, MA, PE, ES, PR, RJ, RS, SC, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
8,algae,Kappaphycus alvarezii (Doty) Doty ex P.C.Silva	,Areschougiaceae,cotonii,"PB, RJ, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
9,algae,Sargassum vulgare C. Agardh,Sargassaceae,beerentang,"AL, BA, CE, ES, PB, PE, PI, PR, RN, RJ, SC, SE, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
10,wild animals,Alouatta belzebul,Atelidae,Guariba-de-mão-ruiva,"AP, MA, PA, TO",Vulnerable (VU),Native,No,Does not exist,0,0
11,wild animals,Alouatta macconnelli,Atelidae,Macaco-de-cheiro-de-macconnell,"AP, PA",Least Concern (LC),Native,No,Does not exist,0,7
12,wild animals,Alouatta nigerrima,Atelidae,Guariba-de-mãos-negras,"AM, PA",Least Concern (LC),Native,No,Does not exist,0,0
